Material,Application,TML_Pct,WVR_Pct,CVCM_Pct,RML_Pct,Year,SpaceX_Classification,Data_Ref,Manufacturer,Time_1,Temp_1,ATM_1,Time_2,Temp_2,ATM_2,Time_3,Temp_3,ATM_3,Time_4,Temp_4,ATM_4,Raw_Application
SOLITHANE 113/300 AS 100/73 BW FORMULA 1,Conformal Coat,0.23,,0.02,0.23,1968,Pass,GSFC00299,TCC,,,,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 BW FORMULA 1,Conformal Coat,0.31,,0.00,0.31,1968,Pass,GSFC00368,TCC,22H,70.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 BW FORMULA 1,Conformal Coat,0.28,,0.03,0.28,1972,Pass,GSFC04254,TCC,24H,55.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 BW SAMPLE A,Potting,0.34,0,0.01,0.34,1983,Pass,GSFC13493,GSC,10D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW SAMPLE B,Potting,0.34,0,0.02,0.34,1983,Pass,GSFC13496,GSC,10D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW SAMPLE C,Potting,0.38,0,0.02,0.38,1983,Pass,GSFC13499,GSC,10D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW SAMPLE D,Potting,0.37,0,0.01,0.37,1983,Pass,GSFC13502,GSC,10D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW SAMPLE D1,Potting,0.20,0,0.01,0.20,1984,Pass,GSFC13576,GSC,70D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW SAMPLE D2,Potting,0.21,0,0.01,0.21,1984,Pass,GSFC13579,GSC,70D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW SAMPLE D3,Potting,0.20,0,0.01,0.20,1984,Pass,GSFC13582,GSC,70D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW SAMPLE D4,Potting,0.20,0,0.01,0.20,1984,Pass,GSFC13585,GSC,70D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 BW W/ETH ACETATE,Conformal Coat,1.00,0,0.04,1.00,1989,Pass,GSFC18186,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 BW/CALCAFLUOR/ETH ACET,Conformal Coat,1.76,0,0.36,1.76,1989,Rationale Code B (up to 0.25 sq-in),GSFC17994,TCC,2H,65.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 BW/CALCAFLUOR/ETH ACET,Conformal Coat,4.08,0,1.14,4.08,1989,Rationale Code B (up to 0.25 sq-in),GSFC18156,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 BW/CALCAFLUOR/TOLUENE,Conformal Coat,0.56,0,0.04,0.56,1990,Pass,GSFC19054,TCC,4H,60.0,AIR,7D,25.0,AIR,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 BW/F,Coating,0.39,0,0.11,0.39,1986,Rationale Code B (up to 0.25 sq-in),GSFC15318,GSC,7D,25.0,AIR,,,,,,,,,,COATING
SOLITHANE 113/300 AS 100/73 PBW,Potting,0.35,0,0.03,0.35,1994,Pass,GSFC22138,UNC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/73 PBW/F,Conformal Coat,0.82,0,0.02,0.82,1993,Pass,GSFC21449,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/73 PBW/F,Conformal Coat,0.64,0,0.02,0.64,1993,Pass,GSFC21451,TCC,24H,70.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/74 PBW CLEAR YELLOW,Conformal Coat,0.36,0,0.08,0.36,1994,Pass,GSFC21694,MNC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300 AS 100/80 BW FORMULA 2,Damper,0.36,0,0.01,0.36,1974,Pass,GSFC06011,TCC,7D,25.0,AIR,,,,,,,,,,DAMPER
SOLITHANE 113/300 AS 100/80 BW FORMULA 2,Potting,0.30,0,0.01,0.30,1976,Pass,GSFC07616,TCC,24H,50.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 AS 100/80 BW FORMULA 2,Potting,0.66,0,0.04,0.66,1976,Pass,GSFC07925,TCC,24H,50.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 FORMULA 15,Staking Compound,0.66,0,0.04,0.66,1985,Pass,GSFC14926,TCC,7D,25.0,AIR,,,,,,,,,,STAKING CPND
SOLITHANE 113/300 FORMULA 15,Staking Compound,0.54,0,0.03,0.54,1985,Pass,GSFC14928,TCC,24H,65.0,AIR,,,,,,,,,,STAKING CPND
SOLITHANE 113/300 FORMULA 6 OVER PRIMER 919/920,Potting,0.72,0,0.03,0.72,1975,Pass,GSFC07175,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300 THINNED/SPRAYED/F,Conformal Coat,0.45,0,0.14,0.45,1985,Rationale Code B (up to 0.25 sq-in),GSFC14611,TCC,16H,25.0,AIR,48H,60.0,AIR,,,,,,,CONF COAT
SOLITHANE 113/300/328 AS 100/14.7/11.5 BW FORMULA 15,Conformal Coat,0.79,,0.04,0.79,1969,Pass,GSFC01069,TCC,24H,70.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/328 AS 100/36.5/7.5 BW FORMULA 12,Potting,0.39,,0.00,0.39,1968,Pass,GSFC00488,TCC,16H,93.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328 AS 100/36.5/7.5 BW FORMULA 12,Potting,0.29,,0.01,0.29,1971,Pass,GSFC02737,TCC,20H,70.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328 AS 100/36.5/7.5 BW FORMULA 12,Potting,0.30,,0.02,0.30,1971,Pass,GSFC02739,TCC,30D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328 AS 100/44/6 BW FORMULA 11,Potting,0.34,,0.00,0.34,1969,Pass,GSFC01585,TCC,16H,70.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328 AS 100/51/4.5 BW FORMULA 10,Potting,0.34,,0.00,0.34,1969,Pass,GSFC01582,TCC,16H,70.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328 AS 100/65.5/1.5 BW FORMULA 8,Conformal Coat,1.19,0,0.08,1.19,1979,Rationale Code A (up to 2 sq-in),GSFC10263,TCC,3H,66.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/328 AS 50/22/3 BW/CARBOLAC I,Potting,0.62,,0.29,0.62,1970,Rationale Code B (up to 0.25 sq-in),GSFC01753,TCC,24H,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328/AL2O3 FORMULA 10.5,Potting,0.20,0,0.02,0.20,1974,Pass,GSFC06182,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328/B 35A GLASS BUBBLES,Potting,0.21,,0.00,0.21,1970,Pass,GSFC02470,TCC,21D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328/B 35A GLASS BUBBLES,Potting,0.20,,0.00,0.20,1971,Pass,GSFC02523,TCC,16H,38.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/328/ECCOSPHERES SI,Potting,0.53,,0.00,0.53,1971,Pass,GSFC02519,TCC,16H,57.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL M5,Potting,0.36,0,0.02,0.36,1986,Pass,GSFC15219,LRC,16H,40.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL M5 (DRIED),Potting,0.36,0,0.03,0.21,1986,Pass,GSFC15221,LRC,16H,40.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL M5/CARBOLAC 1,Sealant,0.43,0,0.03,0.33,1979,Pass,GSFC10257,TCC,7D,25.0,AIR,,,,,,,,,,SEALANT
SOLITHANE 113/300/CABOSIL M5/FERRO BLUE AS 74/8/.01,Potting,0.50,0,0.07,0.36,1995,Pass,GSFC22948,EGG,1H,25.0,AIR,7H,70.0,AIR,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL M5/TC-700 (MELTED XTALS),Potting,0.60,0,0.02,0.37,1986,Pass,GSFC15225,LRC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL M5/TC-700 (XTALS),Potting,1.31,0,0.02,1.09,1986,Rationale Code A (up to 2 sq-in),GSFC15223,LRC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL MS5/RODAMINE B/T-12,Potting,0.47,,0.00,0.47,1969,Pass,GSFC01186,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL MS5/T-12,Potting,0.42,,0.01,0.42,1969,Pass,GSFC01189,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL MS5/T-12,Potting,0.40,,0.03,0.40,1969,Pass,GSFC01195,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL MS5/T-12 COMPARE WSTF,Adhesive,0.32,0,0.01,0.22,1978,Pass,GSFC09269,GSC,40D,25.0,AIR,,,,,,,,,,ADHESIVE
SOLITHANE 113/300/CABOSIL MS5/T-12/FLUORESCENT DYE,Potting,0.46,0,0.04,0.38,1976,Pass,GSFC07314,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL MS5/VYAC 174/T-12,Potting,0.76,,0.19,0.76,1969,Rationale Code B (up to 0.25 sq-in),GSFC01192,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL MS5/VYAC 174/T-12,Potting,0.52,,0.06,0.52,1973,Pass,GSFC05030,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL/T-12/BLUE DYE,Potting,0.44,0,0.08,0.32,1985,Pass,GSFC14460,APL,3H,60.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL/T-12/RODAMINE B,Potting,0.31,,0.01,0.31,1969,Pass,GSFC01231,TCC,,,,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL/THINNERS,Conformal Coat,0.27,,0.01,0.27,1972,Pass,GSFC04646,TCC,4H,77.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/CABOSIL/TIO2 AS 100/74/11/3.6 PBW,Torque Stripe,0.40,0,0.04,0.26,2005,Pass,GSFC29422,TCC,,,,,,,,,,,,,TORQUE STRIPE
SOLITHANE 113/300/CABOSIL/TIO2 AS 100/74/11/3.6 PBW,Torque Stripe,0.40,0,0.03,0.25,2005,Pass,GSFC29425,TDD,4H,60.0,AIR,,,,,,,,,,TORQUE STRIPE
SOLITHANE 113/300/CABOSIL/TIO2 MIX 100/74/11/1 (BY WEIGHT),Staking,0.42,0,0.03,0.27,2001,Pass,GSFC27658,TCC,,,,,,,,,,,,,STAKING
SOLITHANE 113/300/CABOSIL/TIO2 WHITE,Torque Stripe,0.46,0,0.03,0.28,2002,Pass,GSFC28189,TCC,,,,,,,,,,,,,TORQUE STRIPE
SOLITHANE 113/300/CABOSIL/VYAC/T-12,Potting,0.42,,0.01,0.42,1969,Pass,GSFC01210,TCC,16H,70.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL/VYAC/T-12,Potting,0.37,,0.01,0.37,1969,Pass,GSFC01213,TCC,16H,70.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CABOSIL/VYAC/T-12,Potting,0.38,,0.02,0.38,1969,Pass,GSFC01264,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/CALCAFLOUR/SURFACANT BYK-358/TOLUE,Coating,0.97,0,0.04,0.91,2000,Pass,GSFC27085,ASC,,,,,,,,,,,,,COATING
SOLITHANE 113/300/CALCAFLUOR WHITE/T-12/MIBK,Conformal Coat,0.57,0,0.04,0.51,1975,Pass,GSFC06410,TCC,5H,54.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/CALCAFLUOR/ETH ACETATE URETHANE,Potting,0.62,0,0.04,0.54,1989,Pass,GSFC18456,TCC,8H,65.0,E-2,,,,,,,,,,POTTING
SOLITHANE 113/300/CALCAFLUOR/ETH ACETATE URETHANE,Potting,1.40,0,0.05,1.30,1989,Rationale Code A (up to 2 sq-in),GSFC18474,TCC,16H,65.0,E-2,,,,,,,,,,POTTING
SOLITHANE 113/300/CALCAFLUOR/TOLUENE,Conformal Coat,0.50,0,0.03,0.37,1986,Pass,GSFC15477,ITT,16H,66.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/CALCOFLOUR/TOLUENE BRUSH/F,Conformal Coat,1.49,0,0.08,1.40,1998,Rationale Code A (up to 2 sq-in),GSFC25194,ASC,,,,,,,,,,,,,CONFORMAL COAT
SOLITHANE 113/300/CALCOFLOUR/TOLUENE SPRAY/F,Conformal Coat,1.71,0,0.11,1.61,1998,Rationale Code B (up to 0.25 sq-in),GSFC25196,ASC,,,,,,,,,,,,,CONFORMAL COAT
SOLITHANE 113/300/CALCOFLUOR AS 100/74/0.1 PBW,Conformal Coat,0.44,0,0.04,0.29,1994,Pass,GSFC21750,MNC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/CALCOFLUOR AS 100/74/0.2 PBW,Conformal Coat,0.36,0,0.02,0.27,1994,Pass,GSFC21738,MNC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/DTDL AS 100/80/1 BW,Potting,0.66,0,0.09,0.45,1976,Pass,GSFC07946,TCC,15H,50.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/EH-330 AS 100/73/1 BW FORMULA 21,Conformal Coat,0.56,0,0.05,0.43,1980,Pass,GSFC10736,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/HUMISEAL THINNER 521,Coating,0.32,0,0.02,0.26,1983,Pass,GSFC13236,TCC,2H,93.0,AIR,,,,,,,,,,COATING
SOLITHANE 113/300/L-174 AS 28.74/21.26/0.05 PBW,Conformal Coat,0.30,0,0.05,0.23,1994,Pass,GSFC21735,MNC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/M-5 AS 10.7.4/1.1 BW,Coating,0.40,0,0.05,0.30,1999,Pass,GSFC26641,UNC,,,,,,,,,,,,,COATING
SOLITHANE 113/300/M-5 AS 10/7.4/1 BW,Potting,0.37,0,0.02,0.25,1985,Pass,GSFC14776,TCC,48H,40.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/M-5/TC-700,Potting,1.86,0,0.05,1.75,1985,Rationale Code A (up to 2 sq-in),GSFC14779,TCC,4H,66.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/M-5/TC-700,Potting,0.91,0,0.02,0.77,1985,Pass,GSFC14851,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/MEK,Conformal Coat,0.78,0,0.03,0.66,1985,Pass,GSFC14930,LRC,5H,66.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/MEK,Conformal Coat,0.44,0,0.02,0.29,1986,Pass,GSFC15195,LRC,5H,66.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/N-METHYL MORPHOLINE FORMULA 23,Conformal Coat,0.88,0,0.00,0.75,1980,Pass,GSFC10751,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/QUADROL FORMULA 24,Conformal Coat,0.29,0,0.00,0.17,1980,Pass,GSFC10754,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/QUADROL FORMULA 26,Conformal Coat,0.31,0,0.00,0.19,1980,Pass,GSFC10760,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/SILFLAKE 135 AS 5/5/45 BW COND POT,Conductive Potting,0.65,0,0.02,0.62,1977,Pass,GSFC08432,GSC,16H,70.0,AIR,,,,,,,,,,COND POTTING
SOLITHANE 113/300/SILFLAKE 135 AS 5/5/50 BW COND POT,Conductive Potting,0.67,0,0.02,0.63,1977,Pass,GSFC08435,GSC,16H,70.0,AIR,,,,,,,,,,COND POTTING
SOLITHANE 113/300/T-12 AS 25/18.25/1 DROP BW,Potting,0.37,,0.01,0.37,1969,Pass,GSFC01225,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/T-12/CALCAFLUOR RW/DB CASTOR OIL,Conformal Coat,0.37,0,0.02,0.27,1979,Pass,GSFC10472,SLK,3H,60.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/T-12/FERRIC OXIDE/CABOSIL,Paint,0.38,0,0.06,0.33,1983,Pass,GSFC13511,GSC,7D,25.0,AIR,,,,,,,,,,PAINT
SOLITHANE 113/300/T-12/FERRIC OXIDE/CABOSIL,Paint,0.40,0,0.05,0.35,1983,Pass,GSFC13514,GSC,2D,25.0,AIR,24H,60.0,AIR,,,,,,,PAINT
SOLITHANE 113/300/T-12/SILFLAKE 135/HEXANE,Conductive Conformal Coat,0.62,0,0.00,0.59,1977,Pass,GSFC08177,TCC,7D,25.0,AIR,,,,,,,,,,COND CONF COAT
SOLITHANE 113/300/TI02/T-12,Potting,0.29,,0.01,0.29,1970,Pass,GSFC02384,TCC,,,,,,,,,,,,,POTTING
SOLITHANE 113/300/TIPA AS 100/51/4.5 BW FORMULA 10,Adhesive,0.36,0,0.02,0.23,1974,Pass,GSFC06266,TCC,7D,25.0,AIR,,,,,,,,,,ADHESIVE
SOLITHANE 113/300/TIPA/AL2O3,Potting,0.16,0,0.02,0.09,1975,Pass,GSFC06506,TCC,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/TIPA/ALUMINA T61,Adhesive,0.14,,0.01,0.14,1972,Pass,GSFC04206,TCC,4H,60.0,AIR,,,,,,,,,,ADHESIVE
SOLITHANE 113/300/TIPA/V-302 BLACK PIGMENT,Potting,0.33,0,0.02,0.16,1975,Pass,GSFC06635,TCC,16H,25.0,AIR,15H,55.0,AIR,,,,,,,POTTING
SOLITHANE 113/300/TOLUENE AS 100/73 BW/173 BV,Conformal Coat,0.50,,0.03,0.50,1972,Pass,GSFC04252,TCC,24H,55.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/TR/T-12/CAB BLUE URETHANE,Adhesive,0.42,0,0.02,0.29,1992,Pass,GSFC20971,AAC,3H,74.0,AIR,,,,,,,,,,ADHESIVE
SOLITHANE 113/300/TRACER-TECH T-704/80,Potting,0.36,0,0.02,0.28,1980,Pass,GSFC11258,SLM,7D,25.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/300/TRIETHYLAMINE FORMULA 22,Conformal Coat,0.43,0,0.03,0.30,1980,Pass,GSFC10739,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/300/ZNO AS 20/14.6/1 BW,Potting,0.44,,0.04,0.44,1970,Pass,GSFC02212,TCC,20H,66.0,AIR,,,,,,,,,,POTTING
SOLITHANE 113/328/FLEXRICIN 9 FORMULA 29,Conformal Coat,0.60,0,0.03,0.40,1980,Pass,GSFC10811,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/BLACK DYE KD SPERSE 7F,Potting,0.33,0,0.05,0.30,1975,Pass,GSFC07244,TCC,,,,,,,,,,,,,POTTING
SOLITHANE 113/C113 A/B 10/7.3 PBW,Epoxy,0.31,0,0.01,0.14,2011,Pass,GSFC32938,FEQ,4H,85.0,AIR,,,,,,,,,,EPOXY
SOLITHANE 113/PPG-425/EH-330 FORMULA 20,Conformal Coat,4.21,0,1.38,3.79,1980,Rationale Code B (up to 0.25 sq-in),GSFC10733,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/RICINOLEY ALCOHOL FORMULA 25,Conformal Coat,0.59,0,0.01,0.45,1980,Pass,GSFC10757,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 113/TP-440/TMP FORMULA 27,Conformal Coat,0.87,0,0.12,0.58,1980,Rationale Code B (up to 0.25 sq-in),GSFC10763,TCC,7D,25.0,AIR,,,,,,,,,,CONF COAT
SOLITHANE 291,O-Ring,1.36,,0.51,1.36,1970,Rationale Code B (up to 0.25 sq-in),GSFC01957,TCC,,,,,,,,,,,,,O-RING
SOLITHANE 291/271/TIPA AS 100/48.5/1.9 BW,Cushion,1.45,,0.57,1.45,1971,Rationale Code B (up to 0.25 sq-in),GSFC02635,TCC,1H,60.0,E-3,16H,100.0,AIR,,,,,,,CUSHION
SOLITHANE 291/MOCA AS 50/4.5 BW POLYURETHANE,Conformal Coat,1.34,,0.55,1.34,1972,Rationale Code B (up to 0.25 sq-in),GSFC03973,TCC,1H,25.0,AIR,4H,60.0,AIR,,,,,,,CONF COAT
SOLOX-M RETAINER 55% PTFE 40% BRONZE 5% MOS2,Bearing Material,0.04,0,0.00,0.02,1997,Pass,GSFC25050,AEP,,,,,,,,,,,,,BEARING MATERIAL
SOLOX-M RETAINER 60% PTFE 40% BRONZE,Bearing Material,0.02,0,0.01,0.01,1997,Pass,GSFC25047,AEP,,,,,,,,,,,,,BEARING MATERIAL
Solvay FM490A Core Splice Foaming Adhesive,Adhesives,0.78,0,0.01,-0.11,2022,Pass,GFC37105,SAP,24H,124.0,3.2x10ø?,,121.0,AIR,,,,,,,ADHESIVES
SORBOTHANE II BLUE PROPYLENE OXIDE POLYMER,Damper,17.07,0,10.57,16.77,1984,Rationale Code B (up to 0.25 sq-in),GSFC14226,SOR,,,,,,,,,,,,,DAMPER
SOUND FOAM HT YELLOW POLYIMIDE,Foam,0.67,0,0.06,0.28,1988,Pass,GSFC17730,SOC,,,,,,,,,,,,,FOAM
SOUND FOAM HT YELLOW POLYIMIDE/NOMEX FACING,Foam,2.21,1,0.05,1.03,1988,Rationale Code A (up to 2 sq-in),GSFC17732,SOC,,,,,,,,,,,,,FOAM
SOUND FOAM M GRAY POLYURETHANE,Foam,9.39,0,4.01,9.17,1988,Rationale Code B (up to 0.25 sq-in),GSFC17728,SOC,,,,,,,,,,,,,FOAM
SOUND FOAM M GRAY POLYURETHANE BLACK COATED SURFACE,Foam,10.61,0,4.27,10.32,1988,Rationale Code B (up to 0.25 sq-in),GSFC17726,SOC,,,,,,,,,,,,,FOAM
SP-120 SILICONE PRIMER,Primer,22.01,10,0.00,11.43,2004,Rationale Code B (up to 0.25 sq-in),GSFC28708,MCG,,,,,,,,,,,,,PRIMER
"SP527, WOVEN GLASS FABRIC IN A HIGH-TEMP STATIC-DISSIPATIVE EPOXY RESIN",Adhesive,0.52,0,0.01,0.41,2019,Pass,GSFC36414,NPX,,,,,,,,,,,,,ADHESIVE
"SP527, woven glass fabric in a high-temp static-dissipative epoxy resin",Electrical Shields,0.52,0,0.01,0.41,2019,Pass,GFC36414,NPX,24H,125.0,4.4x10ø?,,,,,,,,,,ELECTRICAL SHIELDS
SPACE GARD 4-B-33 FLAT BLACK COATING,Paint,8.95,,0.06,8.95,1972,Rationale Code B (up to 0.25 sq-in),GSFC04280,DEX,5D,25.0,AIR,,,,,,,,,,PAINT
SPACE GARD 4-B-33 OVER RANDOLPH PRIMER T54/F,Paint Composite,1.78,0,0.02,1.29,1976,Rationale Code A (up to 2 sq-in),GSFC07706,DEX,2H,25.0,AIR,96H,69.0,AIR,,,,,,,PAINT COMPOSITE
SPACE GARD 4-B-33 OVER RANDOLPH PRIMER T54/F,Paint Composite,0.79,0,0.03,0.51,1976,Pass,GSFC07898,DEX,24H,100.0,E-2,,,,,,,,,,PAINT COMPOSITE
SPACE GARD 4-C-25 CLEAR COATING,Conformal Coat,9.46,,0.00,9.46,1972,Rationale Code B (up to 0.25 sq-in),GSFC04278,DEX,5D,25.0,AIR,,,,,,,,,,CONF COAT
SPACE GRAD POLY L-TAPE #3 NATURAL PN SM63011-2-3-N,Lacing Cord,0.47,0,0.02,0.18,2009,Pass,GSFC31260,WFC,,,,,,,,,,,,,LACING CORD
"SPACE LACE, LACING TAPE SIZE 3 NATURAL; WIRENETICS # WLT203CC-N",Lacing Tape,0.46,0,0.01,0.14,2010,Pass,GSFC32359,WFC,,,,,,,,,,,,,LACING TAPE
SPACE POLYOLEFIN TYPE 702 BLACK,Shrink Tubing,0.53,0,0.02,0.33,1979,Pass,GSFC10428,RCC,,,,,,,,,,,,,SHRINK TUBING
SPANDOFOAM PE 408,Foam,1.95,,0.02,1.95,1974,Rationale Code A (up to 2 sq-in),GSFC05785,BAX,,,,,,,,,,,,,FOAM
SPEC 55 WHITE TEFZEL OUTER INSUL M27500-24SBIT23,Wire Insul,0.21,0,0.01,0.19,1987,Pass,GSFC16712,BRX,,,,,,,,,,,,,WIRE INSUL
SPECIALTY WIRE MIL-M-22759/11-22-3 ORANGE,Wire Insulation,0.00,0,0.00,-0.01,1999,Pass,GSFC26734,BOC,,,,,,,,,,,,,WIRE INSULATION
SPECTRA 1000 FIBERS WOVEN WHITE,Lacing Cord,1.24,0,0.52,1.21,1988,Rationale Code B (up to 0.25 sq-in),GSFC17734,AFI,,,,,,,,,,,,,LACING CORD
SPECTRA 1000 FIBERS WOVEN WHITE,Tether,1.03,0,0.33,0.96,1995,Rationale Code B (up to 0.25 sq-in),GSFC22603,AFP,,,,,,,,,,,,,TETHER
SPECTRA 1000 FIBERS WOVEN WHITE,Tether,0.99,0,0.37,0.93,1995,Rationale Code B (up to 0.25 sq-in),GSFC22606,AFP,7D,60.0,AIR,,,,,,,,,,TETHER
SPECTRA BRAID UNCOATED,Tether,0.99,0,0.37,0.92,2013,Rationale Code B (up to 0.25 sq-in),GSFC33892,COC,,,,,,,,,,,,,TETHER
SPECTRA BRAID UNCOATED,Tether,0.20,0,0.10,0.19,2013,Pass,GSFC33895,COC,24H,125.0,VAC,,,,,,,,,,TETHER
SPECTRA SHIELD LCR,Film,0.74,0,0.40,0.74,1996,Rationale Code B (up to 0.25 sq-in),GSFC23625,AFP,20M,115.0,AIR,,,,,,,,,,FILM
SPECTRA STRIP INSULATION RTV 615,Insulation,1.06,,0.35,1.06,1969,Rationale Code B (up to 0.25 sq-in),GSFC01219,SSC,,,,,,,,,,,,,INSULATION
SPECTRA-POR 146285 POLYCARBONATE FILTER MEMBRANE,Filter,0.22,0,0.01,0.12,1985,Pass,GSFC14570,SMI,,,,,,,,,,,,,FILTER
SPECTRA/MESH FLUOROCARBON,Blanketing,0.04,0,0.00,0.03,2007,Pass,GSFC30475,STM,,,,,,,,,,,,,BLANKETING
SPECTRA/MESH PEEK WOVEN FILTER #146804,Blanket Filter,0.21,0,0.01,0.03,2008,Pass,GSFC30628,STM,,,,,,,,,,,,,BLANKET FILTER
SPECTRAFLECT WHITE REFLECTANCE COATING/F,Optical Coating,0.61,0,0.00,0.59,1999,Pass,GSFC26113,LAB,,,,,,,,,,,,,OPTICAL COATING
SPECTRALON SRM-990 OPTICAL GRADE REFLECTANCE COATING,Coating,0.04,0,0.01,0.04,1991,Pass,GSFC20205,LAB,,,,,,,,,,,,,COATING
SPECTRAN FIBER # TCV-MC100J HERMETIC/PYROCOAT JACKET,Fiber Optic,0.35,0,0.00,0.21,1995,Pass,GSFC23152,SPS,,,,,,,,,,,,,FIBER OPTIC
